date,temperature
2026-06-21T15:37:03-06:00,229681657.28
2026-06-21T15:37:13-06:00,478179252.8
2026-06-21T15:37:23-06:00,254806716.55
2026-06-21T15:37:33-06:00,127174280.01
2026-06-21T15:37:43-06:00,212629158.91
2026-06-21T15:37:53-06:00,976676070.85
2026-06-21T15:38:03-06:00,21060909.61
2026-06-21T15:38:13-06:00,400356611.7
2026-06-21T15:38:24-06:00,259569728.66
2026-06-21T15:38:34-06:00,425058671.77
2026-06-21T15:38:44-06:00,766418289.43
2026-06-21T15:38:54-06:00,393260073.82
2026-06-21T15:39:04-06:00,778061972.21
2026-06-21T15:39:14-06:00,821304292.48
2026-06-21T15:39:24-06:00,838267026.36
2026-06-21T15:39:34-06:00,67730120.4
2026-06-21T15:39:44-06:00,33835622.02
2026-06-21T15:39:54-06:00,729548503.14
2026-06-21T15:40:04-06:00,507212037.76
2026-06-21T15:40:14-06:00,331688131.68
2026-06-21T15:40:24-06:00,783604424.0
2026-06-21T15:40:34-06:00,173982415.71
2026-06-21T15:40:44-06:00,154896184.36
2026-06-21T15:40:54-06:00,350500615.59
2026-06-21T15:41:04-06:00,74955132.01
2026-06-21T15:41:14-06:00,503155153.28
2026-06-21T15:41:24-06:00,265495022.72
2026-06-21T15:41:34-06:00,915849919.15
2026-06-21T15:41:44-06:00,268242834.63
2026-06-21T15:41:54-06:00,827544737.95
2026-06-21T15:42:04-06:00,759117170.58
2026-06-21T15:42:14-06:00,691883891.65
2026-06-21T15:42:24-06:00,432731401.91
2026-06-21T15:42:34-06:00,380319257.43
2026-06-21T15:42:44-06:00,778787846.95
2026-06-21T15:42:54-06:00,8005974.97
2026-06-21T15:43:04-06:00,409195113.9
2026-06-21T15:43:14-06:00,36780088.28
2026-06-21T15:43:24-06:00,423633201.02
2026-06-21T15:43:34-06:00,224984096.37
2026-06-21T15:43:44-06:00,729637970.62
2026-06-21T15:43:54-06:00,352272632.45
2026-06-21T15:44:04-06:00,37782898.47
2026-06-21T15:44:14-06:00,424662262.01
2026-06-21T15:44:24-06:00,600017721.89
2026-06-21T15:44:34-06:00,555230072.48
2026-06-21T15:44:44-06:00,546793035.85
2026-06-21T15:44:54-06:00,617379163.96
2026-06-21T15:45:04-06:00,313152612.78
2026-06-21T15:45:14-06:00,969245373.71
2026-06-21T15:45:24-06:00,630227997.37
2026-06-21T15:45:34-06:00,238398068.54
2026-06-21T15:45:44-06:00,667914955.37
2026-06-21T15:45:54-06:00,149202108.75
2026-06-21T15:46:04-06:00,750114900.18
2026-06-21T15:46:14-06:00,941945685.78
2026-06-21T15:46:24-06:00,786380254.84
2026-06-21T15:46:34-06:00,672797194.7
2026-06-21T15:46:44-06:00,116349394.13
2026-06-21T15:46:54-06:00,296728457.5
2026-06-21T15:47:04-06:00,229392142.29
2026-06-21T15:47:14-06:00,61106825.16
2026-06-21T15:47:24-06:00,365300355.77
2026-06-21T15:47:34-06:00,453846055.85
2026-06-21T15:47:44-06:00,220998939.34
2026-06-21T15:47:54-06:00,350153512.57
2026-06-21T15:48:04-06:00,619613989.13
2026-06-21T15:48:14-06:00,846695789.1
2026-06-21T15:48:24-06:00,538083965.4
2026-06-21T15:48:34-06:00,220155885.91
2026-06-21T15:48:44-06:00,345442649.03
2026-06-21T15:48:54-06:00,116082070.0
2026-06-21T15:49:04-06:00,145967456.1
2026-06-21T15:49:15-06:00,395358036.51
2026-06-21T15:49:25-06:00,368625222.02
2026-06-21T15:49:35-06:00,143291824.47
2026-06-21T15:49:45-06:00,163030682.71
2026-06-21T15:49:55-06:00,916786319.87
2026-06-21T15:50:05-06:00,856499748.53
2026-06-21T15:50:15-06:00,826180370.03
2026-06-21T15:50:25-06:00,807515367.83
2026-06-21T15:50:35-06:00,882450467.23
2026-06-21T15:50:45-06:00,374547185.09
2026-06-21T15:50:55-06:00,873769003.61
2026-06-21T15:51:05-06:00,85692985.47
2026-06-21T15:51:15-06:00,924291375.93
2026-06-21T15:51:25-06:00,725855057.83
2026-06-21T15:51:35-06:00,517766789.84
2026-06-21T15:51:45-06:00,537411397.25
2026-06-21T15:51:55-06:00,569314579.77
2026-06-21T15:52:05-06:00,352769820.76
2026-06-21T15:52:15-06:00,911147931.44
2026-06-21T15:52:25-06:00,860492739.97
2026-06-21T15:52:35-06:00,396353053.6
2026-06-21T15:52:45-06:00,27927850.38
2026-06-21T15:52:55-06:00,881837685.25
2026-06-21T15:53:05-06:00,244426186.46
2026-06-21T15:53:15-06:00,754122561.15
2026-06-21T15:53:25-06:00,508290596.84
2026-06-21T15:53:35-06:00,698047067.82
2026-06-21T15:53:45-06:00,240988768.66
2026-06-21T15:53:55-06:00,551213382.07
2026-06-21T15:54:05-06:00,899821293.45
2026-06-21T15:54:15-06:00,802182867.89
2026-06-21T15:54:25-06:00,188957538.27
2026-06-21T15:54:35-06:00,102481428.11
2026-06-21T15:54:45-06:00,96580401.87
2026-06-21T15:54:55-06:00,133848741.5
